PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
86457,1/27/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,50.74,0.003957,-0.001589,-0.00141
86457,1/30/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,293606,50.33,-0.00808,-0.007052,-0.009657
86457,1/31/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.08,-0.004967,0.000839,0.003957
86457,2/1/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.46,0.007588,0.000269,0.001043
86457,2/2/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.36,-0.001982,0.00062,0.0006
86457,2/3/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.69,0.006553,0.007792,0.00842
86457,2/6/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.72,0.000592,-0.002698,-0.003062
86457,2/7/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,50.92,0.003943,-0.000536,-0.002207
86457,2/8/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.01,0.001767,0.00122,0.000002
86457,2/9/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.17,0.003137,0.006484,0.007788
86457,2/10/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.32,0.002931,0.004101,0.006333
86457,2/13/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.55,0.004482,0.004656,0.002895
86457,2/14/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.72,0.003298,0.003874,0.002459
86457,2/15/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,51.89,0.003287,0.004783,0.003712
86457,2/16/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.01,0.002313,-0.00125,-0.002218
86457,2/17/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.19,0.003461,0.001896,0.001427
86457,2/21/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.46,0.005173,0.005811,0.004478
86457,2/22/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.52,0.001144,-0.001742,-0.004013
86457,2/23/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.51,-0.00019,-0.000904,-0.003613
86457,2/24/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.63,0.002285,0.000453,-0.001559
86457,2/27/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,318506,52.6,-0.00057,0.002001,0.005569
86457,2/28/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.35,-0.004753,-0.004619,-0.009037
86457,3/1/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.09,0.014136,0.013369,0.011196
