PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd,sprtrn
86451,12/09/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,30.99000,0.001616,88970,0.003571,0.003485,0.003843
86451,12/10/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.29000,0.009681,88970,0.006422,0.006810,0.006002
86451,12/13/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.34000,0.001598,88970,0.000189,-0.001497,0.000048
86451,12/14/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.65500,0.010051,88970,0.000280,-0.001438,0.000911
86451,12/15/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.56000,-0.003001,88970,-0.005251,-0.004135,-0.005122
86451,12/16/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.78000,0.006971,88970,0.005847,0.007872,0.006185
86451,12/17/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.67000,0.001709,88970,0.001558,0.003659,0.000837
86451,12/20/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.66000,-0.000316,88970,0.001819,0.000713,0.002548
86451,12/21/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.58000,-0.002527,88970,0.007182,0.008646,0.006030
86451,12/22/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.66750,0.002771,88970,0.003138,0.003308,0.003380
86451,12/23/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.65000,-0.000553,88970,-0.001189,0.000450,-0.001644
86451,12/27/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.59000,-0.001896,88970,0.000674,0.003488,0.000613
86451,12/28/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.61000,0.000633,88970,0.000790,-0.000240,0.000771
86451,12/29/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.62000,0.000316,88970,0.002732,0.004122,0.001009
86451,12/30/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.51000,-0.003479,88970,-0.000804,0.001311,-0.001508
86451,12/31/2010,4,XLV,SECTOR SPDR TRUST,81369Y20,31.50000,-0.000317,84070,-0.000238,0.000868,-0.000191
86451,01/03/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.78750,0.009127,84070,0.011205,0.012533,0.011315
86451,01/04/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.89000,0.003225,84070,-0.003888,-0.006753,-0.001313
86451,01/05/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.96000,0.002195,84070,0.005374,0.007944,0.005007
86451,01/06/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.09000,0.004068,84070,-0.002519,-0.001211,-0.002123
86451,01/07/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.07000,-0.000623,84070,-0.001946,-0.002848,-0.001845
86451,01/10/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.98000,-0.002806,84070,-0.000718,0.002287,-0.001376
86451,01/11/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.14000,0.005003,84070,0.005025,0.005963,0.003725
86451,01/12/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.31000,0.005289,84070,0.009020,0.008259,0.009008
86451,01/13/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.14000,-0.005262,84070,-0.001887,-0.000500,-0.001711
86451,01/14/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.18000,0.001245,84070,0.006638,0.004736,0.007385
86451,01/18/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.30000,0.003729,84070,0.002164,0.002518,0.001376
86451,01/19/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.08000,-0.006811,84070,-0.012230,-0.016081,-0.010116
86451,01/20/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.16000,0.002494,84070,-0.003822,-0.007600,-0.001295
86451,01/21/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.18750,0.000855,84070,0.001269,-0.000136,0.002414
86451,01/24/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.15000,-0.001165,84070,0.006285,0.006046,0.005836
86451,01/25/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.15000,0.000000,84070,-0.000435,-0.001076,0.000263
86451,01/26/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.11000,-0.001244,84070,0.007330,0.011707,0.004221
86451,01/27/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,32.19000,0.002491,84070,0.002122,0.001653,0.002244
86451,01/28/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.61000,-0.018018,84070,-0.017212,-0.017784,-0.017852
86451,01/31/2011,4,XLV,SECTOR SPDR TRUST,81369Y20,31.68000,0.002214,87970,0.007620,0.005212,0.007663
