cusip,shares,tm,date
"55254110",50000,2002m3,28mar2002
"55262C10",10000,2002m3,28mar2002
"57053510",14010,2002m3,28mar2002
"57174810",2000,2002m3,28mar2002
"57459910",69500,2002m3,28mar2002
"58013510",25150,2002m3,28mar2002
"58933110",108175,2002m3,28mar2002
"71708110",15900,2002m3,28mar2002
"71815410",266185,2002m3,28mar2002
"73173810",40450,2002m3,28mar2002
"74271810",23302,2002m3,28mar2002
"74432010",20000,2002m3,28mar2002
"76169510",78000,2002m3,28mar2002
"78223310",152200,2002m3,28mar2002
"78387G10",8768,2002m3,28mar2002
"78651420",15100,2002m3,28mar2002
"80412020",174000,2002m3,28mar2002
"80685710",27700,2002m3,28mar2002
"81760N10",160415,2002m3,28mar2002
"82434810",25175,2002m3,28mar2002
"89102710",20000,2002m3,28mar2002
"89604710",31500,2002m3,28mar2002
"89989610",42000,2002m3,28mar2002
"90297330",124765,2002m3,28mar2002
"90478470",96400,2002m3,28mar2002
"91886610",31500,2002m3,28mar2002
"92343V10",4392,2002m3,28mar2002
"93005910",6776,2002m3,28mar2002
"93932210",74175,2002m3,28mar2002
"94106L10",89025,2002m3,28mar2002
"95081710",7100,2002m3,28mar2002
"98302410",5600,2002m3,28mar2002
"00184A10",492175,2002m6,28jun2002
"02581610",19650,2002m6,28jun2002
"03522910",26648,2002m6,28jun2002
"03760A10",132850,2002m6,28jun2002
"05981530",137350,2002m6,28jun2002
"08467010",154,2002m6,28jun2002
"08467020",775,2002m6,28jun2002
"09282810",86975,2002m6,28jun2002
"09367110",231790,2002m6,28jun2002
"11012210",296575,2002m6,28jun2002
"12720930",91825,2002m6,28jun2002
"15670010",55300,2002m6,28jun2002
"16808810",12825,2002m6,28jun2002
"18905410",179858,2002m6,28jun2002
"19121610",79725,2002m6,28jun2002
"20030020",40200,2002m6,28jun2002
"24903010",201700,2002m6,28jun2002
"24950910",126700,2002m6,28jun2002
"28566110",40725,2002m6,28jun2002
"29101110",22900,2002m6,28jun2002
"29442910",53700,2002m6,28jun2002
"31340030",142455,2002m6,28jun2002
"31358610",40150,2002m6,28jun2002
"31996310",360900,2002m6,28jun2002
"32096010",271325,2002m6,28jun2002
"35346910",512645,2002m6,28jun2002
"36473010",12520,2002m6,28jun2002
"36866W10",2007865,2002m6,28jun2002
"36960410",9200,2002m6,28jun2002
"38131710",10000,2002m6,28jun2002
"39075210",72050,2002m6,28jun2002
"42823610",20300,2002m6,28jun2002
"44106M10",47825,2002m6,28jun2002
"44993410",119350,2002m6,28jun2002
"45775010",290100,2002m6,28jun2002
"46069010",119700,2002m6,28jun2002
"47816010",63520,2002m6,28jun2002
"50075N10",144750,2002m6,28jun2002
"50104410",50225,2002m6,28jun2002
"51384710",661150,2002m6,28jun2002
"55254110",50000,2002m6,28jun2002
"55262C10",10000,2002m6,28jun2002
"57053510",15160,2002m6,28jun2002
"57459910",78000,2002m6,28jun2002
"58013510",25150,2002m6,28jun2002
"58933110",109075,2002m6,28jun2002
"71344810",4800,2002m6,28jun2002
"71708110",15900,2002m6,28jun2002
"71815410",241285,2002m6,28jun2002
"74271810",19100,2002m6,28jun2002
"74432010",20000,2002m6,28jun2002
"78223310",152200,2002m6,28jun2002
"78387G10",7368,2002m6,28jun2002
"78651420",65950,2002m6,28jun2002
"80412020",174000,2002m6,28jun2002
"80685710",34200,2002m6,28jun2002
"81760N10",40415,2002m6,28jun2002
"82434810",25175,2002m6,28jun2002
"89102710",26500,2002m6,28jun2002
"89604710",31500,2002m6,28jun2002
"89687P10",136325,2002m6,28jun2002
"89989610",42000,2002m6,28jun2002
"90212410",1418125,2002m6,28jun2002
"90297330",124765,2002m6,28jun2002
"90478470",84400,2002m6,28jun2002
"93932210",64175,2002m6,28jun2002
"94106L10",98425,2002m6,28jun2002
"95081710",6940,2002m6,28jun2002
"98302410",5600,2002m6,28jun2002
"00184A10",888200,2002m9,30sep2002
"00244410",90450,2002m9,30sep2002
"02581610",33150,2002m9,30sep2002
"03522910",26642,2002m9,30sep2002
"03760A10",333850,2002m9,30sep2002
"05981530",113850,2002m9,30sep2002
"08467010",164,2002m9,30sep2002
"08467020",835,2002m9,30sep2002
"09282810",65225,2002m9,30sep2002
"09367110",206090,2002m9,30sep2002
"11012210",644000,2002m9,30sep2002
"12720930",101825,2002m9,30sep2002
"15670010",56200,2002m9,30sep2002
"16808810",12825,2002m9,30sep2002
"18905410",197958,2002m9,30sep2002
"19121610",69925,2002m9,30sep2002
"20030020",40200,2002m9,30sep2002
"24903010",40350,2002m9,30sep2002
"24950910",58500,2002m9,30sep2002
"28566110",1020225,2002m9,30sep2002
"29101110",18900,2002m9,30sep2002
"29442910",53700,2002m9,30sep2002
"31340030",237955,2002m9,30sep2002
"31358610",80350,2002m9,30sep2002
"31996310",421925,2002m9,30sep2002
"32096010",236525,2002m9,30sep2002
"35346910",474145,2002m9,30sep2002
"36473010",12520,2002m9,30sep2002
"36866W10",3001100,2002m9,30sep2002
"36960410",9508,2002m9,30sep2002
"38131710",10000,2002m9,30sep2002
"39075210",55050,2002m9,30sep2002
"42823610",70300,2002m9,30sep2002
"43707610",30000,2002m9,30sep2002
"44993410",179700,2002m9,30sep2002
"45775010",260100,2002m9,30sep2002
"46069010",301850,2002m9,30sep2002
"47816010",65520,2002m9,30sep2002
"49906310",172750,2002m9,30sep2002
"50075N10",170750,2002m9,30sep2002
"50104410",90225,2002m9,30sep2002
"51384710",633150,2002m9,30sep2002
"53071810",4114850,2002m9,30sep2002
"55262C10",55700,2002m9,30sep2002
"55284810",40000,2002m9,30sep2002
"57053510",15260,2002m9,30sep2002
"57459910",78000,2002m9,30sep2002
"58013510",100150,2002m9,30sep2002
"58933110",67375,2002m9,30sep2002
"65408610",303275,2002m9,30sep2002
"71344810",175910,2002m9,30sep2002
"71708110",15900,2002m9,30sep2002
"71815410",262235,2002m9,30sep2002
"74271810",19100,2002m9,30sep2002
"74432010",50000,2002m9,30sep2002
"75914G10",301200,2002m9,30sep2002
"78223310",154700,2002m9,30sep2002
"78651420",250050,2002m9,30sep2002
"80412020",176050,2002m9,30sep2002
"80685710",30800,2002m9,30sep2002
"81760N10",40415,2002m9,30sep2002
"82434810",25175,2002m9,30sep2002
"87294110",51500,2002m9,30sep2002
"89102710",27700,2002m9,30sep2002
"89604710",31500,2002m9,30sep2002
"89687P10",781250,2002m9,30sep2002
"89989610",42000,2002m9,30sep2002
"90212410",2819925,2002m9,30sep2002
"90297330",275365,2002m9,30sep2002
"90478470",235700,2002m9,30sep2002
"91301710",25000,2002m9,30sep2002
"93932210",154100,2002m9,30sep2002
"94106L10",114925,2002m9,30sep2002
"95081710",6940,2002m9,30sep2002
"00184A10",689475,2002m12,31dec2002
"00244410",100450,2002m12,31dec2002
"02581610",43150,2002m12,31dec2002
"03522910",28082,2002m12,31dec2002
"03760A10",417250,2002m12,31dec2002
"05981530",111350,2002m12,31dec2002
"08467010",164,2002m12,31dec2002
"08467020",824,2002m12,31dec2002
"09282810",65225,2002m12,31dec2002
"09367110",287915,2002m12,31dec2002
"11012210",907275,2002m12,31dec2002
"12720930",121825,2002m12,31dec2002
"15670010",61300,2002m12,31dec2002
"16808810",13325,2002m12,31dec2002
"18905410",212238,2002m12,31dec2002
"19121610",70025,2002m12,31dec2002
"20030N20",40200,2002m12,31dec2002
"24950910",57500,2002m12,31dec2002
"28566110",971425,2002m12,31dec2002
"29101110",18400,2002m12,31dec2002
"29442910",64100,2002m12,31dec2002
"29760210",51600,2002m12,31dec2002
"31340030",285935,2002m12,31dec2002
"31358610",100350,2002m12,31dec2002
"31996310",471226,2002m12,31dec2002
"32096010",423325,2002m12,31dec2002
"35346910",307600,2002m12,31dec2002
"36473010",13040,2002m12,31dec2002
"36866W10",2855100,2002m12,31dec2002
"36960410",9508,2002m12,31dec2002
"38131710",10000,2002m12,31dec2002
"39075210",51550,2002m12,31dec2002
"42823610",70300,2002m12,31dec2002
"43707610",90150,2002m12,31dec2002
"44993410",179100,2002m12,31dec2002
"45775010",260100,2002m12,31dec2002
"46069010",794200,2002m12,31dec2002
"46072H10",150300,2002m12,31dec2002
"47816010",62740,2002m12,31dec2002
"49436810",30800,2002m12,31dec2002
"50075N10",240950,2002m12,31dec2002
"50104410",90225,2002m12,31dec2002
"51384710",812450,2002m12,31dec2002
"53071810",4816431,2002m12,31dec2002
"55262C10",131125,2002m12,31dec2002
"55284810",81025,2002m12,31dec2002
"57053510",15260,2002m12,31dec2002
"57459910",77500,2002m12,31dec2002
"58013510",110150,2002m12,31dec2002
"58933110",62250,2002m12,31dec2002
"65408610",313275,2002m12,31dec2002
"71344810",175910,2002m12,31dec2002
"71708110",15900,2002m12,31dec2002
"74271810",19430,2002m12,31dec2002
"74432010",50000,2002m12,31dec2002
"78223310",154000,2002m12,31dec2002
"78651420",285050,2002m12,31dec2002
"80412020",176050,2002m12,31dec2002
"80660510",9600,2002m12,31dec2002
"80685710",18200,2002m12,31dec2002
"81760N10",200865,2002m12,31dec2002
"82434810",25175,2002m12,31dec2002
"89102710",27700,2002m12,31dec2002
"89604710",31500,2002m12,31dec2002
"89687P10",1123925,2002m12,31dec2002
"89989610",154300,2002m12,31dec2002
"90212410",3283925,2002m12,31dec2002
